unit,n_portion,sex,age,country,time,value
PC,0,F,Y15-44,PL,2019 ,
PC,0,F,Y15-44,PT,2019 ,
PC,0,F,Y15-44,RO,2019 ,
PC,0,F,Y15-44,SE,2019 ,
PC,0,F,Y15-44,SI,2019 ,
PC,0,F,Y15-44,SK,2019 ,
PC,0,F,Y15-44,TR,2019 ,
PC,0,F,Y15-44,UK,2019 ,
PC,0,F,Y15-64,AT,2019 ,34.3
PC,0,F,Y15-64,BE,2019 ,21.2
PC,0,F,Y15-64,BG,2019 ,52.1
PC,0,F,Y15-64,CY,2019 ,36.9
PC,0,F,Y15-64,CZ,2019 ,47.0
PC,0,F,Y15-64,DE,2019 ,30.7
PC,0,F,Y15-64,DK,2019 ,46.3
PC,0,F,Y15-64,EE,2019 ,43.4
PC,0,F,Y15-64,EL,2019 ,30.8
PC,0,F,Y15-64,ES,2019 ,27.2
PC,0,F,Y15-64,EU27_2020,2019 ,32.7
PC,0,F,Y15-64,EU28,2019 ,
PC,0,F,Y15-64,FI,2019 ,46.5
PC,0,F,Y15-64,FR,2019 ,27.4
PC,0,F,Y15-64,HR,2019 ,27.9
PC,0,F,Y15-64,HU,2019 ,42.2
PC,0,F,Y15-64,IE,2019 ,26.7
PC,0,F,Y15-64,IS,2019 ,29.8
PC,0,F,Y15-64,IT,2019 ,27.1
PC,0,F,Y15-64,LT,2019 ,40.2
PC,0,F,Y15-64,LU,2019 ,47.3
PC,0,F,Y15-64,LV,2019 ,53.2
PC,0,F,Y15-64,MT,2019 ,37.2
PC,0,F,Y15-64,NL,2019 ,47.6
PC,0,F,Y15-64,NO,2019 ,30.0
PC,0,F,Y15-64,PL,2019 ,41.1
PC,0,F,Y15-64,PT,2019 ,28.2
PC,0,F,Y15-64,RO,2019 ,78.3
PC,0,F,Y15-64,RS,2019 ,49.1
PC,0,F,Y15-64,SE,2019 ,37.7
PC,0,F,Y15-64,SI,2019 ,28.7
PC,0,F,Y15-64,SK,2019 ,44.8
PC,0,F,Y15-64,TR,2019 ,36.4
PC,0,F,Y15-64,UK,2019 ,
PC,0,F,Y20-24,AT,2019 ,
PC,0,F,Y20-24,BE,2019 ,
PC,0,F,Y20-24,BG,2019 ,
PC,0,F,Y20-24,CY,2019 ,
PC,0,F,Y20-24,CZ,2019 ,
PC,0,F,Y20-24,DE,2019 ,
PC,0,F,Y20-24,DK,2019 ,
PC,0,F,Y20-24,EE,2019 ,
PC,0,F,Y20-24,EL,2019 ,
PC,0,F,Y20-24,ES,2019 ,
PC,0,F,Y20-24,EU28,2019 ,
PC,0,F,Y20-24,FI,2019 ,
PC,0,F,Y20-24,FR,2019 ,
PC,0,F,Y20-24,HR,2019 ,
PC,0,F,Y20-24,HU,2019 ,
PC,0,F,Y20-24,IE,2019 ,
PC,0,F,Y20-24,IS,2019 ,
PC,0,F,Y20-24,IT,2019 ,
PC,0,F,Y20-24,LT,2019 ,
PC,0,F,Y20-24,LU,2019 ,
PC,0,F,Y20-24,LV,2019 ,
PC,0,F,Y20-24,MT,2019 ,
PC,0,F,Y20-24,NL,2019 ,
PC,0,F,Y20-24,NO,2019 ,
PC,0,F,Y20-24,PL,2019 ,
PC,0,F,Y20-24,PT,2019 ,
PC,0,F,Y20-24,RO,2019 ,
PC,0,F,Y20-24,SE,2019 ,
PC,0,F,Y20-24,SI,2019 ,
PC,0,F,Y20-24,SK,2019 ,
PC,0,F,Y20-24,TR,2019 ,
PC,0,F,Y20-24,UK,2019 ,
PC,0,F,Y25-29,AT,2019 ,
PC,0,F,Y25-29,BE,2019 ,
PC,0,F,Y25-29,BG,2019 ,
PC,0,F,Y25-29,CY,2019 ,
PC,0,F,Y25-29,CZ,2019 ,
PC,0,F,Y25-29,DE,2019 ,
PC,0,F,Y25-29,DK,2019 ,
PC,0,F,Y25-29,EE,2019 ,
PC,0,F,Y25-29,EL,2019 ,
PC,0,F,Y25-29,ES,2019 ,
PC,0,F,Y25-29,EU28,2019 ,
PC,0,F,Y25-29,FI,2019 ,
PC,0,F,Y25-29,FR,2019 ,
PC,0,F,Y25-29,HR,2019 ,
PC,0,F,Y25-29,HU,2019 ,
PC,0,F,Y25-29,IE,2019 ,
PC,0,F,Y25-29,IS,2019 ,
PC,0,F,Y25-29,IT,2019 ,
PC,0,F,Y25-29,LT,2019 ,
PC,0,F,Y25-29,LU,2019 ,
PC,0,F,Y25-29,LV,2019 ,
PC,0,F,Y25-29,MT,2019 ,
PC,0,F,Y25-29,NL,2019 ,
PC,0,F,Y25-29,NO,2019 ,
PC,0,F,Y25-29,PL,2019 ,
PC,0,F,Y25-29,PT,2019 ,
PC,0,F,Y25-29,RO,2019 ,
PC,0,F,Y25-29,SE,2019 ,
PC,0,F,Y25-29,SI,2019 ,
PC,0,F,Y25-29,SK,2019 ,
PC,0,F,Y25-29,TR,2019 ,
PC,0,F,Y25-29,UK,2019 ,
PC,0,F,Y25-34,AT,2019 ,40.5
PC,0,F,Y25-34,BE,2019 ,24.3
PC,0,F,Y25-34,BG,2019 ,61.9
PC,0,F,Y25-34,CY,2019 ,39.3
PC,0,F,Y25-34,CZ,2019 ,61.0
PC,0,F,Y25-34,DE,2019 ,30.2
PC,0,F,Y25-34,DK,2019 ,
PC,0,F,Y25-34,EE,2019 ,40.4
PC,0,F,Y25-34,EL,2019 ,51.3
PC,0,F,Y25-34,ES,2019 ,33.4
PC,0,F,Y25-34,EU27_2020,2019 ,39.5
PC,0,F,Y25-34,EU28,2019 ,
PC,0,F,Y25-34,FI,2019 ,30.2
PC,0,F,Y25-34,FR,2019 ,32.4
PC,0,F,Y25-34,HR,2019 ,
PC,0,F,Y25-34,HU,2019 ,51.9
PC,0,F,Y25-34,IE,2019 ,44.1
PC,0,F,Y25-34,IS,2019 ,32.3
PC,0,F,Y25-34,IT,2019 ,37.1
PC,0,F,Y25-34,LT,2019 ,
PC,0,F,Y25-34,LU,2019 ,
PC,0,F,Y25-34,LV,2019 ,58.6
PC,0,F,Y25-34,MT,2019 ,40.7
PC,0,F,Y25-34,NL,2019 ,51.6
PC,0,F,Y25-34,NO,2019 ,23.9
PC,0,F,Y25-34,PL,2019 ,41.1
PC,0,F,Y25-34,PT,2019 ,47.7
PC,0,F,Y25-34,RO,2019 ,85.4
PC,0,F,Y25-34,RS,2019 ,45.2
PC,0,F,Y25-34,SE,2019 ,50.0
PC,0,F,Y25-34,SI,2019 ,
PC,0,F,Y25-34,SK,2019 ,56.2
PC,0,F,Y25-34,TR,2019 ,41.8
PC,0,F,Y25-34,UK,2019 ,
PC,0,F,Y25-64,AT,2019 ,
PC,0,F,Y25-64,BE,2019 ,
PC,0,F,Y25-64,BG,2019 ,
PC,0,F,Y25-64,CY,2019 ,
PC,0,F,Y25-64,CZ,2019 ,
PC,0,F,Y25-64,DE,2019 ,
PC,0,F,Y25-64,DK,2019 ,
PC,0,F,Y25-64,EE,2019 ,
PC,0,F,Y25-64,EL,2019 ,
PC,0,F,Y25-64,ES,2019 ,
PC,0,F,Y25-64,EU27_2020,2019 ,
PC,0,F,Y25-64,EU28,2019 ,
PC,0,F,Y25-64,FI,2019 ,
PC,0,F,Y25-64,FR,2019 ,
PC,0,F,Y25-64,HR,2019 ,
PC,0,F,Y25-64,HU,2019 ,
PC,0,F,Y25-64,IE,2019 ,
PC,0,F,Y25-64,IS,2019 ,
PC,0,F,Y25-64,IT,2019 ,
PC,0,F,Y25-64,LT,2019 ,
PC,0,F,Y25-64,LU,2019 ,
PC,0,F,Y25-64,LV,2019 ,
PC,0,F,Y25-64,MT,2019 ,
PC,0,F,Y25-64,NL,2019 ,
PC,0,F,Y25-64,NO,2019 ,
PC,0,F,Y25-64,PL,2019 ,
PC,0,F,Y25-64,PT,2019 ,
PC,0,F,Y25-64,RO,2019 ,
